"conflict_id","dyad_id","location_inc","side_a","side_a_id","side_a_2nd","side_b","side_b_id","side_b_2nd","incompatibility","territory_name","year","bd_best","bd_low","bd_high","type_of_conflict","battle_location","gwno_a","gwno_a_2nd","gwno_b","gwno_b_2nd","gwno_loc","gwno_battle","region","version","u_ucdp_conflict_year_conflict_id","u_ucdp_conflict_year_year"
13324,"14236","Tajikistan, Kyrgyzstan","Government of Kyrgyzstan","132","","Government of Tajikistan","131","",1,"Common Border",2021,56,56,56,2,"Tajikistan, Kyrgyzstan","703","","702","","702, 703","702, 703","3","23,1",13324,2021
13324,"14236","Tajikistan, Kyrgyzstan","Government of Kyrgyzstan","132","","Government of Tajikistan","131","",1,"Common Border",2022,152,152,158,2,"Tajikistan, Kyrgyzstan","703","","702","","702, 703","702, 703","3","23,1",13324,2022
13840,"14953","Burkina Faso","Government of Burkina Faso","78","Government of France","IS","234","",1,"Islamic State",2019,78,73,137,4,"Burkina Faso","439","220","","","439","439","4","23,1",13840,2019
13840,"14953","Burkina Faso","Government of Burkina Faso","78","Government of France","IS","234","",1,"Islamic State",2020,160,131,182,4,"Burkina Faso","439","220","","","439","439","4","23,1",13840,2020
13840,"14953","Burkina Faso","Government of Burkina Faso","78","Government of Mali, Government of Niger, Government of France, Government of Chad","IS","234","",1,"Islamic State",2021,170,152,176,4,"Burkina Faso","439","432, 436, 483, 220","","","439","439","4","23,1",13840,2021
13840,"14953","Burkina Faso","Government of Burkina Faso","78","Government of Niger, Government of France","IS","234","",1,"Islamic State",2022,404,254,422,4,"Burkina Faso","439","436, 220","","","439","439","4","23,1",13840,2022
13886,"14741","Jordan","Government of Jordan","120","","IS","234","",1,"Islamic State",2016,34,34,35,3,"Jordan, Syria","663","","","","663","663, 652","2","23,1",13886,2016
13902,"14701","Turkey","Government of Turkey","115","","IS","234","",1,"Islamic State",2016,1107,1102,1107,3,"Syria, Iraq, Turkey","640","","","","640","652, 640, 645","2","23,1",13902,2016
13902,"14701","Turkey","Government of Turkey","115","","IS","234","",1,"Islamic State",2017,750,683,902,3,"Syria, Turkey","640","","","","640","652, 640","2","23,1",13902,2017
13902,"14701","Turkey","Government of Turkey","115","","IS","234","",1,"Islamic State",2015,26,26,27,3,"Syria, Turkey","640","","","","640","652, 640","2","23,1",13902,2015
11342,"11971","India","Government of India","141","","GNLA","1163","",1,"Garoland",2012,27,23,27,3,"India","750","","","","750","750","3","23,1",11342,2012
11342,"11971","India","Government of India","141","","GNLA","1163","",1,"Garoland",2014,26,23,32,3,"India","750","","","","750","750","3","23,1",11342,2014
11344,"11977","Sudan","Government of Sudan","112","","Republic of South Sudan","1129","",1,"Abyei",2011,145,145,145,3,"Sudan","625","","","","625","625","4","23,1",11344,2011
11345,"12413","South Sudan","Government of South Sudan","113","","SPLM/A - IO","4226","",2,"",2016,735,734,1155,3,"South Sudan","626","","","","626","626","4","23,1",11345,2016
11345,"12413","South Sudan","Government of South Sudan","113","","SPLM/A - IO","4226","",2,"",2017,484,478,684,3,"South Sudan, Uganda","626","","","","626","500, 626","4","23,1",11345,2017
11345,"12413","South Sudan","Government of South Sudan","113","","SPLM/A - IO","4226","",2,"",2018,526,497,727,3,"South Sudan","626","","","","626","626","4","23,1",11345,2018
11345,"15195","South Sudan","Government of South Sudan","113","","NAS","6794","",2,"",2019,110,102,188,3,"South Sudan","626","","","","626","626","4","23,1",11345,2019
11345,"15195","South Sudan","Government of South Sudan","113","","NAS","6794","",2,"",2020,58,49,135,3,"South Sudan","626","","","","626","626","4","23,1",11345,2020
